State,Single Rate,Single Lowerbound,Married Rate,Married Lowerbound,Single Deduction,Married Deduction
Alabama,2.0,0,2.0,0,3000,8500
Alabama,4.0,500,4.0,1000,3000,8500
Alabama,5.0,3000,5.0,6000,3000,8500
Alaska,0.0,0,0.0,0,0,0
Arizona,2.5,0,2.5,0,8350,16700
Arkansas,2.0,0,2.0,0,2470,4940
Arkansas,3.9,4600,3.9,4600,2470,4940
California,1.0,0,1.0,0,5540,11080
California,2.0,11079,2.0,22158,5540,11080
California,4.0,26264,4.0,52528,5540,11080
California,6.0,41452,6.0,82904,5540,11080
California,8.0,57542,8.0,115084,5540,11080
California,9.3,72724,9.3,145448,5540,11080
California,10.3,371479,10.3,742958,5540,11080
California,11.3,445771,11.3,891542,5540,11080
California,12.3,742953,12.3,1000000,5540,11080
California,13.3,1000000,13.3,1485906,5540,11080
Colorado,4.4,0,4.4,0,16100,32200
Connecticut,2.0,0,2.0,0,0,0
Connecticut,4.5,10000,4.5,20000,0,0
Connecticut,5.5,50000,5.5,100000,0,0
Connecticut,6.0,100000,6.0,200000,0,0
Connecticut,6.5,200000,6.5,400000,0,0
Connecticut,6.9,250000,6.9,500000,0,0
Connecticut,6.99,500000,6.99,1000000,0,0
Delaware,2.2,2000,2.2,2000,3250,6500
Delaware,3.9,5000,3.9,5000,3250,6500
Delaware,4.8,10000,4.8,10000,3250,6500
Delaware,5.2,20000,5.2,20000,3250,6500
Delaware,5.55,25000,5.55,25000,3250,6500
Delaware,6.6,60000,6.6,60000,3250,6500
Florida,0.0,0,0.0,0,0,0
Georgia,5.19,0,5.19,0,12000,24000
Hawaii,1.4,0,1.4,0,4400,8800
Hawaii,3.2,9600,3.2,19200,4400,8800
Hawaii,5.5,14400,5.5,28800,4400,8800
Hawaii,6.4,19200,6.4,38400,4400,8800
Hawaii,6.8,24000,6.8,48000,4400,8800
Hawaii,7.2,36000,7.2,72000,4400,8800
Hawaii,7.6,48000,7.6,96000,4400,8800
Hawaii,7.9,125000,7.9,250000,4400,8800
Hawaii,8.25,175000,8.25,350000,4400,8800
Hawaii,9.0,225000,9.0,450000,4400,8800
Hawaii,10.0,275000,10.0,550000,4400,8800
Hawaii,11.0,325000,11.0,650000,4400,8800
Idaho,5.3,4811,5.3,9622,16100,32200
Illinois,4.95,0,4.95,0,0,0
Indiana,2.95,0,2.95,0,0,0
Iowa,3.8,0,3.8,0,16100,32200
Iowa,0.0,0,0.0,0,16100,32200
Kansas,5.2,0,5.2,0,3605,8240
Kansas,5.58,23000,5.58,46000,3605,8240
Kentucky,3.5,0,3.5,0,3360,3360
Kentucky,0.0,0,0.0,0,3360,3360
Louisiana,3.0,0,3.0,0,12875,25750
Louisiana,0.0,0,0.0,0,12875,25750
Maine,5.8,0,5.8,0,8350,16700
Maine,6.75,27399,6.75,54849,8350,16700
Maine,7.15,64849,7.15,129749,8350,16700
Maryland,2.0,0,2.0,0,3350,6700
Maryland,3.0,1000,3.0,1000,3350,6700
Maryland,4.0,2000,4.0,2000,3350,6700
Maryland,4.75,3000,4.75,3000,3350,6700
Maryland,5.0,100000,5.0,150000,3350,6700
Maryland,5.25,125000,5.25,175000,3350,6700
Maryland,5.5,150000,5.5,225000,3350,6700
Maryland,5.75,250000,5.75,300000,3350,6700
Maryland,6.25,500000,6.25,600000,3350,6700
Maryland,6.5,1000000,6.5,1200000,3350,6700
Massachusetts,5.0,0,5.0,0,0,0
Massachusetts,9.0,1083150,9.0,1083150,0,0
Michigan,4.25,0,4.25,0,0,0
Minnesota,5.35,0,5.35,0,15300,30600
Minnesota,6.8,33310,6.8,48700,15300,30600
Minnesota,7.85,109430,7.85,193480,15300,30600
Minnesota,9.85,203150,9.85,337930,15300,30600
Mississippi,4.0,10000,4.0,10000,2300,4600
Missouri,2.0,1348,2.0,1348,16100,32200
Missouri,2.5,2696,2.5,2696,16100,32200
Missouri,3.0,4044,3.0,4044,16100,32200
Missouri,3.5,5392,3.5,5392,16100,32200
Missouri,4.0,6740,4.0,6740,16100,32200
Missouri,4.5,8088,4.5,8088,16100,32200
Missouri,4.7,9436,4.7,9436,16100,32200
Montana,4.7,0,4.7,0,16100,32200
Montana,5.65,47500,5.65,95000,16100,32200
Nebraska,2.46,0,2.46,0,8850,17700
Nebraska,3.51,4130,3.51,8250,8850,17700
Nebraska,4.55,24760,4.55,49530,8850,17700
Nevada,0.0,0,0.0,0,0,0
New Hampshire,0.0,0,0.0,0,0,0
New Jersey,1.4,0,1.4,0,0,0
New Jersey,1.75,20000,1.75,20000,0,0
New Jersey,3.5,35000,2.45,50000,0,0
New Jersey,5.53,40000,3.5,70000,0,0
New Jersey,6.37,75000,5.53,80000,0,0
New Jersey,8.97,500000,6.37,150000,0,0
New Jersey,10.75,1000000,8.97,500000,0,0
New Jersey,0.0,0,10.75,1000000,0,0
New Mexico,1.5,0,1.5,0,16100,32200
New Mexico,3.2,5500,3.2,8000,16100,32200
New Mexico,4.3,16500,4.3,25000,16100,32200
New Mexico,4.7,33500,4.7,50000,16100,32200
New Mexico,4.9,66500,4.9,100000,16100,32200
New Mexico,5.9,210000,5.9,315000,16100,32200
New York,3.9,0,3.9,0,8000,16050
New York,4.4,8500,4.4,17150,8000,16050
New York,5.15,11700,5.15,23600,8000,16050
New York,5.4,13900,5.4,27900,8000,16050
New York,5.9,80650,5.9,161550,8000,16050
New York,6.85,215400,6.85,323200,8000,16050
New York,9.65,1077550,9.65,2155350,8000,16050
New York,10.3,5000000,10.3,5000000,8000,16050
New York,10.9,25000000,10.9,25000000,8000,16050
North Carolina,3.99,0,3.99,0,12750,25500
North Dakota,1.95,48475,1.95,80975,16100,32200
North Dakota,2.5,244825,2.5,298075,16100,32200
Ohio,2.75,26050,2.75,26050,0,0
Ohio,0.0,0,0.0,0,0,0
Oklahoma,2.5,3750,2.5,7500,6350,12700
Oklahoma,3.5,4900,3.5,9800,6350,12700
Oklahoma,4.5,7200,4.5,14400,6350,12700
Oregon,4.75,0,4.75,0,2910,5820
Oregon,6.75,4550,6.75,9100,2910,5820
Oregon,8.75,11400,8.75,22800,2910,5820
Oregon,9.9,125000,9.9,250000,2910,5820
Pennsylvania,3.07,0,3.07,0,0,0
Rhode Island,3.75,0,3.75,0,11200,22400
Rhode Island,4.75,82050,4.75,82050,11200,22400
Rhode Island,5.99,186450,5.99,186450,11200,22400
South Carolina,0.0,0,0.0,0,8350,16700
South Carolina,3.0,3640,3.0,3640,8350,16700
South Carolina,6.0,18230,6.0,18230,8350,16700
South Dakota,0.0,0,0.0,0,0,0
Tennessee,0.0,0,0.0,0,0,0
Texas,0.0,0,0.0,0,0,0
Utah,4.5,0,4.5,0,0,0
Vermont,3.35,0,3.35,0,7650,15300
Vermont,6.6,49400,6.6,82500,7650,15300
Vermont,7.6,119700,7.6,199450,7650,15300
Vermont,8.75,249700,8.75,304000,7650,15300
Virginia,2.0,0,2.0,0,8750,17500
Virginia,3.0,3000,3.0,3000,8750,17500
Virginia,5.0,5000,5.0,5000,8750,17500
Virginia,5.75,17000,5.75,17000,8750,17500
Washington,0.0,0,0.0,0,0,0
Washington,7.0,0,7.0,0,0,0
Washington,9.0,1000000,9.0,1000000,0,0
West Virginia,2.22,0,2.22,0,0,0
West Virginia,2.96,10000,2.96,10000,0,0
West Virginia,3.33,25000,3.33,25000,0,0
West Virginia,4.44,40000,4.44,40000,0,0
West Virginia,4.82,60000,4.82,60000,0,0
Wisconsin,3.5,0,3.5,0,13960,25840
Wisconsin,4.4,15110,4.4,20150,13960,25840
Wisconsin,5.3,51950,5.3,69260,13960,25840
Wisconsin,7.65,332720,7.65,443630,13960,25840
Wyoming,0.0,0,0.0,0,0,0
Washington DC,4.0,0,4.0,0,16100,32200
Washington DC,6.0,10000,6.0,10000,16100,32200
Washington DC,6.5,40000,6.5,40000,16100,32200
Washington DC,8.5,60000,8.5,60000,16100,32200
Washington DC,9.25,250000,9.25,250000,16100,32200
Washington DC,9.75,500000,9.75,500000,16100,32200
Washington DC,10.75,1000000,10.75,1000000,16100,32200
